Length of List, Number Of Sorts, Variance
2400,1200,3414155.396365939
2400,1250,2985967.3161886157
2400,1300,3341687.282725084
2400,1350,2624432.5475007202
2400,1400,5339495.20761412
2400,1450,4175712.0074791107
2400,1500,2960428.119739615
2400,1550,4180402.894921146
2400,1600,3932802.201641858
2400,1650,5145311.344948022
2400,1700,3068314.3746100944
2400,1750,3145629.6153905927
2400,1800,5123279.409539967
2400,1850,4220826.731608043
2400,1900,4456838.838634634
2400,1950,3197192.6596680223
2400,2000,4029075.765270687
2400,2050,3206995.757151306
2400,2100,3837801.048348429
2400,2150,2498052.7858285154
2400,2200,2774244.511545683
2400,2250,2987363.7386407643
2400,2300,2358552.721228678
2400,2350,1663266.7982746882
2400,2400,2776688.93969555
2400,2450,2232328.505406235
2400,2500,5177052.6429095445
2600,50,6475194.739026489
2600,100,9816359.323911076
2600,150,13110362.696154863
2600,200,11958673.06176394
2600,250,11873867.403704135
2600,300,9377923.05080389
2600,350,7125192.714251148
2600,400,14744880.682977447
2600,450,5452198.935584386
2600,500,12050507.30920125
2600,550,5311735.50873504
2600,600,8185763.655565533
2600,650,6416836.776824006
2600,700,7018442.504477766
2600,750,8830321.536546504
2600,800,3232642.6271016053
2600,850,4583519.619435149
2600,900,4565615.762550531
2600,950,8695390.256815707
2600,1000,10422308.18709885
2600,1050,6109545.662007011
2600,1100,2170366.506390845
2600,1150,5574841.953883326
2600,1200,5715917.627206558
2600,1250,3861382.0100350687
2600,1300,6383533.8077425305
2600,1350,5315215.175792851
2600,1400,5973073.41679956
2600,1450,5864709.798695123
2600,1500,4019168.781239868
2600,1550,5370300.057433031
2600,1600,4606966.539766629
2600,1650,4186668.8353000716
2600,1700,3576084.9872807544
2600,1750,3483049.057159523
2600,1800,4939487.07040036
2600,1850,3923719.0440160064
2600,1900,4256104.105800474
2600,1950,4347252.185316403
2600,2000,2778725.121828267
2600,2050,3557636.5495748892
2600,2100,3628471.6854062807
2600,2150,4230703.566017313
2600,2200,4315101.227547981
2600,2250,3497476.54629925
2600,2300,3030451.225803764
2600,2350,4280432.302719156
2600,2400,4874262.607942248
2600,2450,2578509.725149713
2600,2500,3715050.346416538
2800,50,35587210.10830921
2800,100,3115848.3023543996
2800,150,9403746.583848683
2800,200,11142520.981134666
2800,250,8918445.564284038
2800,300,15311554.524430625
2800,350,20780475.626518898
2800,400,13497550.085633429
2800,450,9036550.85539592
2800,500,6838123.582125319
2800,550,8110379.757780122
2800,600,2454591.8022380006
2800,650,6982840.869913942
2800,700,7466378.037337487
2800,750,7597687.31109173
2800,800,5001148.924428865
2800,850,5516537.7710378645
2800,900,6353904.521386284
2800,950,7704677.847079057
2800,1000,8878671.557733538
2800,1050,4899961.575529028
2800,1100,10306848.341039836
2800,1150,7408799.606690525
2800,1200,7585536.01001745
2800,1250,8838540.056655126
2800,1300,5873470.404018453
2800,1350,7800584.341771285
2800,1400,6383362.231937032
2800,1450,5108758.037730891
2800,1500,4894705.706035424
2800,1550,5290038.326127435
2800,1600,4530411.723654994
2800,1650,5570864.520999619
2800,1700,6172401.400367099
2800,1750,5440791.365225322
2800,1800,3388266.1767702615
2800,1850,6389039.67050155
2800,1900,3756036.6972835325
2800,1950,5084089.664758135
2800,2000,7351970.346559754
2800,2050,5185996.217604843
2800,2100,4225561.034756217
2800,2150,5629696.442298698
2800,2200,3418834.899382584
2800,2250,5972293.636857431
2800,2300,4794676.162705869
2800,2350,4436285.804306612
2800,2400,4673797.524581127
2800,2450,3500761.5337196174
2800,2500,2523308.6933139847
3000,50,7272249.97864751
3000,100,9824297.394320998
3000,150,14524719.964310976
3000,200,15970588.984338649
3000,250,5912473.301456453
3000,300,13223545.560156757
