Length of List, Number Of Sorts, Variance
1000,1650,688100938028.5863
1000,1700,790637297249.561
1000,1750,1093717745231.6836
1000,1800,540801145174.29553
1000,1850,574534688578.7357
1000,1900,433777376726.0309
1000,1950,1265260222836.4746
1000,2000,560493008981.5359
1000,2050,1237593718213.496
1000,2100,1255633204811.655
1000,2150,1033598407327.6433
1000,2200,1287078455388.3481
1000,2250,1405713269182.0205
1000,2300,805683111088.1853
1000,2350,1768606276181.094
1000,2400,1884428575247.5464
1000,2450,2230770248477.0293
1000,2500,1738650720402.861
1200,50,4945303205.707563
1200,100,12731374643.813375
1200,150,36572127469.88047
1200,200,35222444607.1827
1200,250,94859898163.13487
1200,300,90092109697.2316
1200,350,119868785586.3352
1200,400,276316975802.50165
1200,450,107505980853.97978
1200,500,159999000287.47794
1200,550,377855817452.38043
1200,600,427476769761.611
1200,650,267395502137.9939
1200,700,589849929283.3
1200,750,507483198862.35504
1200,800,884250280256.4652
1200,850,703088618775.3165
1200,900,1329588400274.8245
1200,950,664986918525.7391
1200,1000,876018856552.9067
1200,1050,972310047064.4727
1200,1100,863869833837.9938
1200,1150,930184231551.372
1200,1200,1808354167755.0415
1200,1250,1458451908040.512
1200,1300,1765164029488.8816
1200,1350,632055010926.4454
1200,1400,1370558236859.574
1200,1450,1986978543577.362
1200,1500,1594427634276.1326
1200,1550,1437536293654.67
1200,1600,1147630977581.4846
1200,1650,1561659829556.5083
1200,1700,2246212177311.486
1200,1750,1805468068889.296
1200,1800,2046005930285.435
1200,1850,2211102976754.302
1200,1900,2031932305536.5405
1200,1950,1857948837050.843
1200,2000,1655671094939.173
1200,2050,3203847005889.383
1200,2100,1754858647959.7224
1200,2150,1705070347339.3738
1200,2200,4083492162568.442
1200,2250,2743469535349.872
1200,2300,1844517530325.939
1200,2350,1966726625455.1704
1200,2400,2135667445803.8223
1200,2450,1858287615445.613
1200,2500,4167753812006.068
1400,50,5135005938.209352
1400,100,53729016983.08736
1400,150,42562653574.89977
1400,200,64122820371.91978
1400,250,185488493202.17548
1400,300,59427076304.98428
1400,350,292618464583.17993
1400,400,460944957511.0614
1400,450,107848283316.38112
1400,500,628905256822.8027
1400,550,524886343903.49445
1400,600,601037035093.5403
1400,650,717172249423.8872
1400,700,487422132923.333
1400,750,1913518430270.484
1400,800,3143999875567.171
1400,850,1492856897535.386
1400,900,3111250230609.189
1400,950,1097849623857.4907
1400,1000,1590349216477.3174
1400,1050,710616629644.2295
1400,1100,1814372554187.0945
1400,1150,3762561819210.887
1400,1200,3575681229056.4824
1400,1250,4496871980628.926
1400,1300,2618228475645.959
1400,1350,2053696987672.753
1400,1400,5475493635943.832
1400,1450,4092121547767.6494
1400,1500,3349027316011.241
1400,1550,5493109464983.791
1400,1600,4205160354490.09
1400,1650,3926028417598.213
1400,1700,2560044311558.5776
1400,1750,2504880197987.01
1400,1800,7493143955849.442
1400,1850,5660859797106.133
1400,1900,2311773643215.326
1400,1950,4240642749121.453
1400,2000,5691698691181.105
1400,2050,5593474944437.241
1400,2100,4869561961011.117
1400,2150,8295465114676.821
1400,2200,6254461471228.757
1400,2250,6207322887951.353
1400,2300,8179216663634.813
1400,2350,9456013596109.383
1400,2400,5589012733814.322
1400,2450,9474428141702.053
1400,2500,10750617713534.58
1600,50,31519753617.044544
1600,100,77119387642.79059
1600,150,23923048431.286125
1600,200,219517128427.90887
1600,250,308442536231.49365
1600,300,224151751592.57697
1600,350,240680813775.75568
1600,400,72183844557.69377
1600,450,535429372118.46985
1600,500,579747392683.2062
1600,550,397355281438.32104
1600,600,396626869902.7168
1600,650,433480354338.33124
1600,700,856258101095.13
1600,750,1779648599154.4429
1600,800,1350521904665.358
1600,850,1668343585598.1619
1600,900,1818707575232.1335
1600,950,1897868811254.686
1600,1000,938026544372.6033
1600,1050,1637432091841.856
1600,1100,1786265744007.3037
1600,1150,3820570426120.9243
1600,1200,1687061714730.783
1600,1250,2236625167742.8623
1600,1300,2216609516595.112
1600,1350,2608711903483.288
1600,1400,2823577539455.39
1600,1450,3193952019736.8
1600,1500,2306061316555.102
1600,1550,3923630613082.991
1600,1600,2113610950387.8982
1600,1650,3484793067941.5923
1600,1700,4271684332832.5684
1600,1750,2589856445118.718
1600,1800,6190612536796.384
1600,1850,4213515455685.077
1600,1900,5083254793645.19
1600,1950,4716148145101.557
1600,2000,5962120284327.218
1600,2050,5526798197366.088
1600,2100,5670605285450.298
1600,2150,7338970402065.424
1600,2200,6720821606417.083
1600,2250,6236557001308.952
1600,2300,8280622918489.501
1600,2350,10386263809725.955
1600,2400,7329523696167.581
1600,2450,7166688319010.761
1600,2500,7056450276817.834
1800,50,5814635623.664974
1800,100,17474346650.580273
1800,150,30364515770.955776
1800,200,283112549293.3482
1800,250,478577213110.5289
1800,300,210693180679.53052
1800,350,659307582773.8832
1800,400,574848656906.3175
1800,450,696880407490.4655
1800,500,482452177870.27563
1800,550,448525448723.46027
1800,600,1182567937643.1865
1800,650,1278295730352.094
1800,700,2489057213719.8223
1800,750,2057888051526.5273
1800,800,1313784463485.733
1800,850,1924358813978.7288
1800,900,2492778424189.6
1800,950,2754108237509.8433
1800,1000,4359182239625.94
1800,1050,2815832705241.381
1800,1100,4546033908612.328
1800,1150,5913166600377.687
1800,1200,5049596135521.024
1800,1250,5501883150900.735
1800,1300,5262449204931.858
1800,1350,4471143134218.627
1800,1400,4699719324414.748
1800,1450,6714195105784.583
1800,1500,4705788949158.544
1800,1550,6604755850911.31
1800,1600,3033523310959.125
1800,1650,8079471784855.074
1800,1700,6064565894211.004
1800,1750,4486618221303.498
1800,1800,11447172788279.752
1800,1850,9410622268987.92
1800,1900,14092018185117.188
1800,1950,11836320131044.592
1800,2000,9029894463857.465
1800,2050,8553157661496.934
1800,2100,14283733485407.896
1800,2150,9167762148089.848
1800,2200,11846989220170.764
1800,2250,14923126846571.86
1800,2300,13235466679727.297
1800,2350,7066629553734.972
1800,2400,10272615209852.371
1800,2450,5834689153747.436
1800,2500,10061554800954.7
2000,50,10247554711.987516
2000,100,76058486671.85687
2000,150,152101700490.09003
2000,200,217592465519.00095
2000,250,245891583405.17297
2000,300,72941559496.13661
2000,350,531688095027.4277
2000,400,356912061096.32513
